CustomerID,PersonID,StoreID,TerritoryID,rowguid,ModifiedDate
11,,1332,3,{C04D6B4D-94C6-4C5C-A44C-B449C0AC1B45},15:07.3
12,,494,3,{9774AED6-D673-412D-B481-2573E470B478},15:07.3
13,,1346,3,{6808B1ED-3C9A-401D-B284-9AC31166D9EB},15:07.3
14,,1358,3,{7FF17923-E670-4F42-87A3-A6D1AF18EA05},15:07.3
15,,1280,3,{E324FEE8-1EE7-4B96-854E-CFDA7B0CBBC8},15:07.3
16,,1268,3,{5227D299-B05E-4D6C-A1C9-DA63154869BA},15:07.3
17,,1266,3,{010D8AA6-CEBA-4097-9E67-3B2A9674FD5F},15:07.3
18,,726,3,{0122151A-9140-4663-A3EB-A442D88BC1BB},15:07.3
19,,714,3,{E03DB34C-BF17-407D-9423-FA22DBFDD292},15:07.3
20,,712,3,{7649E8AF-3DAB-43AA-B7DF-9776F84DFB71},15:07.3
